museum_name,city,country,annual_visitors,log_annual_visitors,city_population,log_city_population,Latitude,Longitude
Louvre,Paris,fr,9000000,16.012735246411598,21106940.0,16.865112501697663,,
Shenzhen Museum,Shenzhen,cn,6805000,15.733168341018464,10025920.0,16.120684397261275,,
British Museum,London,gb,6479952,15.684223815215734,74212280.0,18.12244020657137,,
"Natural History Museum, South Kensington",London,gb,6301972,15.656373316936007,74212280.0,18.12244020657137,,
Nanjing Museum,Nanjing,cn,5680000,15.552461966753656,30870100.0,17.245298668257895,,
Tate Modern,London,gb,4603025,15.342224471273541,74212280.0,18.12244020657137,,
Hubei Provincial Museum,Wuhan,cn,4356943,15.287281452136558,41842060.0,17.54941263558997,,
Shanghai Museum East,Shanghai,cn,4230000,15.257712787429051,146085120.0,18.799700030330104,,
National Museum of Korea,Seoul,kr,3780000,15.145234832146,103234480.0,18.45251347342373,,
Musée d'Orsay,Paris,fr,3751000,15.137533295659564,21106940.0,16.865112501697663,,
State Russian Museum,Saint Petersburg,ru,3611899,15.099744507642962,40397510.0,17.51427873212258,,
State Hermitage Museum,Saint Petersburg,ru,3563590,15.086279302289462,40397510.0,17.51427873212258,,
Prado Museum,Madrid,es,3457057,15.055928496315811,31026440.0,17.250350334390525,,
Centre Pompidou,Paris,fr,3204369,14.980026061152198,21106940.0,16.865112501697663,,
National Gallery,London,gb,3203451,14.979739536337283,74212280.0,18.12244020657137,,
Musée National d'Histoire Naturelle,Paris,fr,3200000,14.978661680269907,21106940.0,16.865112501697663,,
Mevlana Museum,Konya,tr,3048000,14.92999652387261,8760040.0,15.985711143266919,,
Galleria degli Uffizi,Florence,it,2908828,14.883261152662573,3471940.0,15.060224361530436,,
National Museum of Natural Science,Taichung,tw,2854455,14.86439184000946,10835820.0,16.198367963039978,,
London Science Museum,London,gb,2827242,14.854812589826361,74212280.0,18.12244020657137,,
National Museum of Nature and Science,Tokyo,jp,2634997,14.784392980944029,314804980.0,19.567463897126945,,
State Tretyakov Gallery,Moscow,ru,2524450,14.74153417130862,103812880.0,18.458100615409318,,
Rijksmuseum,Amsterdam,nl,2500000,14.731801689838349,7458110.0,15.824812722956889,,
Tokyo National Museum,Tokyo,jp,2460000,14.715672314412528,314804980.0,19.567463897126945,,
Art Gallery of NSW,Sydney,au,2369339,14.678121993315617,43945850.0,17.598468774908866,,
National Museum of Scotland,Edinburgh,gb,2314974,14.654909446308091,4357940.0,15.287510256074729,,
Royal Museums Greenwich,London,gb,2255753,14.628994843101324,74212280.0,18.12244020657137,,
Galleria dell'Accademia,Florence,it,2189103,14.59900288565509,3471940.0,15.060224361530436,,
National Gallery Singapore,Singapore,sg,2040481,14.528696612421777,35478090.0,17.384425908997574,,
